order_id,user_id,product,order_timestamp
order_user_2_1,user_2,product_1,2024-06-07T06:18:05
order_user_3_1,user_3,product_1,2024-06-17T05:39:50
order_user_3_2,user_3,product_2,2024-06-09T21:46:45
order_user_3_3,user_3,product_3,2024-06-06T04:12:34
order_user_4_1,user_4,product_1,2024-06-13T09:12:08
order_user_4_2,user_4,product_2,2024-06-06T23:42:43
order_user_4_3,user_4,product_3,2024-06-03T23:21:30
order_user_4_4,user_4,product_4,2024-06-06T19:09:40
order_user_6_1,user_6,product_1,2024-06-05T12:42:27
order_user_6_2,user_6,product_2,2024-06-18T21:32:47
order_user_6_3,user_6,product_3,2024-06-09T05:15:32
order_user_6_4,user_6,product_4,2024-06-07T05:09:38
order_user_7_1,user_7,product_1,2024-06-02T16:26:57
order_user_7_2,user_7,product_2,2024-06-18T14:33:47
order_user_7_3,user_7,product_3,2024-06-14T19:26:51
order_user_7_4,user_7,product_4,2024-06-12T23:25:52
order_user_7_5,user_7,product_5,2024-06-11T20:23:50
order_user_7_6,user_7,product_6,2024-06-23T02:26:10
order_user_8_1,user_8,product_1,2024-06-03T20:58:22
order_user_8_2,user_8,product_2,2024-06-20T15:48:00
order_user_8_3,user_8,product_3,2024-06-09T13:34:44
order_user_8_4,user_8,product_4,2024-06-19T00:27:38
order_user_8_5,user_8,product_5,2024-06-10T21:47:55
order_user_8_6,user_8,product_6,2024-06-13T18:27:18
order_user_8_7,user_8,product_7,2024-06-13T22:31:30
order_user_8_8,user_8,product_8,2024-06-12T16:33:36
order_user_9_1,user_9,product_1,2024-06-15T11:54:25
order_user_9_2,user_9,product_2,2024-06-12T03:55:14
order_user_9_3,user_9,product_3,2024-06-03T21:42:19
order_user_9_4,user_9,product_4,2024-06-01T19:24:12
order_user_9_5,user_9,product_5,2024-06-04T07:26:13
order_user_9_6,user_9,product_6,2024-06-06T11:18:12
order_user_10_1,user_10,product_1,2024-06-15T05:59:44
order_user_10_2,user_10,product_2,2024-06-13T17:48:58
order_user_10_3,user_10,product_3,2024-06-12T18:59:06
order_user_11_1,user_11,product_1,2024-06-03T06:56:45
order_user_11_2,user_11,product_2,2024-06-16T02:38:45
order_user_11_3,user_11,product_3,2024-06-16T17:21:45
order_user_13_1,user_13,product_1,2024-06-10T19:17:15
order_user_13_2,user_13,product_2,2024-06-11T15:28:40
order_user_13_3,user_13,product_3,2024-06-07T23:05:35
order_user_13_4,user_13,product_4,2024-06-10T13:37:48
order_user_13_5,user_13,product_5,2024-06-23T07:35:43
order_user_13_6,user_13,product_6,2024-06-20T20:30:31
order_user_13_7,user_13,product_7,2024-06-10T14:15:32
order_user_13_8,user_13,product_8,2024-06-10T01:13:55
order_user_14_1,user_14,product_1,2024-06-17T18:50:54
order_user_14_2,user_14,product_2,2024-06-13T06:15:54
order_user_14_3,user_14,product_3,2024-06-17T04:59:23
order_user_14_4,user_14,product_4,2024-06-11T04:44:48
order_user_14_5,user_14,product_5,2024-06-13T02:57:02
order_user_16_1,user_16,product_1,2024-06-01T18:02:04
order_user_16_2,user_16,product_2,2024-06-09T11:46:46
order_user_16_3,user_16,product_3,2024-06-21T12:35:03
order_user_16_4,user_16,product_4,2024-06-08T00:38:58
order_user_16_5,user_16,product_5,2024-06-17T09:37:32
order_user_17_1,user_17,product_1,2024-06-11T13:34:05
order_user_17_2,user_17,product_2,2024-06-10T18:06:42
order_user_17_3,user_17,product_3,2024-06-21T10:36:19
order_user_18_1,user_18,product_1,2024-06-12T18:49:43
order_user_18_2,user_18,product_2,2024-06-16T21:34:07
order_user_19_1,user_19,product_1,2024-06-15T23:28:51
order_user_19_2,user_19,product_2,2024-06-22T18:11:37
order_user_19_3,user_19,product_3,2024-06-02T11:06:05
order_user_19_4,user_19,product_4,2024-06-14T16:41:01
order_user_19_5,user_19,product_5,2024-06-23T11:57:44
order_user_19_6,user_19,product_6,2024-06-12T06:42:36
order_user_19_7,user_19,product_7,2024-06-22T19:46:16
order_user_20_1,user_20,product_1,2024-06-19T10:47:32
order_user_20_2,user_20,product_2,2024-06-23T01:49:35
order_user_20_3,user_20,product_3,2024-06-16T17:44:10
order_user_20_4,user_20,product_4,2024-06-13T18:02:11
order_user_20_5,user_20,product_5,2024-06-12T23:48:21
order_user_21_1,user_21,product_1,2024-06-21T12:40:53
order_user_21_2,user_21,product_2,2024-06-11T13:45:06
order_user_21_3,user_21,product_3,2024-06-18T13:20:54
order_user_21_4,user_21,product_4,2024-06-02T05:47:41
order_user_21_5,user_21,product_5,2024-06-06T08:06:49
order_user_21_6,user_21,product_6,2024-06-16T16:15:51
order_user_21_7,user_21,product_7,2024-06-03T07:33:20
order_user_21_8,user_21,product_8,2024-06-22T22:55:40
order_user_21_9,user_21,product_9,2024-06-05T05:08:04
order_user_23_1,user_23,product_1,2024-06-11T05:30:57
order_user_23_2,user_23,product_2,2024-06-20T11:23:19
order_user_23_3,user_23,product_3,2024-06-18T10:20:54
order_user_24_1,user_24,product_1,2024-06-14T18:11:25
order_user_24_2,user_24,product_2,2024-06-18T04:57:07
order_user_24_3,user_24,product_3,2024-06-05T13:48:48
order_user_24_4,user_24,product_4,2024-06-14T17:05:49
order_user_24_5,user_24,product_5,2024-06-03T01:17:17
order_user_24_6,user_24,product_6,2024-06-19T14:36:14
order_user_24_7,user_24,product_7,2024-06-08T06:28:34
order_user_24_8,user_24,product_8,2024-06-22T20:09:05
order_user_24_9,user_24,product_9,2024-06-18T01:18:12
order_user_24_10,user_24,product_10,2024-06-17T18:06:52
order_user_26_1,user_26,product_1,2024-06-11T00:21:32
order_user_26_2,user_26,product_2,2024-06-21T01:13:43
order_user_26_3,user_26,product_3,2024-06-08T06:01:03
order_user_26_4,user_26,product_4,2024-06-10T21:41:57
order_user_26_5,user_26,product_5,2024-06-23T07:23:56
order_user_26_6,user_26,product_6,2024-06-15T13:47:00
order_user_26_7,user_26,product_7,2024-06-01T18:11:11
order_user_26_8,user_26,product_8,2024-06-12T02:07:23
order_user_27_1,user_27,product_1,2024-06-03T13:27:12
order_user_27_2,user_27,product_2,2024-06-06T05:25:15
order_user_27_3,user_27,product_3,2024-06-12T21:11:34
order_user_27_4,user_27,product_4,2024-06-20T23:52:52
order_user_28_1,user_28,product_1,2024-06-15T10:49:01
order_user_29_1,user_29,product_1,2024-06-03T12:38:24
order_user_29_2,user_29,product_2,2024-06-09T19:56:41
order_user_30_1,user_30,product_1,2024-06-23T09:02:56
order_user_30_2,user_30,product_2,2024-06-21T07:55:15
order_user_30_3,user_30,product_3,2024-06-01T15:50:31
order_user_30_4,user_30,product_4,2024-06-19T00:41:30
order_user_30_5,user_30,product_5,2024-06-13T08:23:27
order_user_30_6,user_30,product_6,2024-06-04T18:42:17
order_user_31_1,user_31,product_1,2024-06-16T03:20:27
order_user_31_2,user_31,product_2,2024-06-20T07:58:24
order_user_32_1,user_32,product_1,2024-06-12T13:26:54
order_user_32_2,user_32,product_2,2024-06-04T01:58:06
order_user_32_3,user_32,product_3,2024-06-05T09:54:19
order_user_32_4,user_32,product_4,2024-06-22T23:38:33
order_user_32_5,user_32,product_5,2024-06-21T15:30:21
order_user_32_6,user_32,product_6,2024-06-11T04:25:38
order_user_32_7,user_32,product_7,2024-06-12T09:06:15
order_user_34_1,user_34,product_1,2024-06-11T00:12:15
order_user_34_2,user_34,product_2,2024-06-05T10:02:55
order_user_34_3,user_34,product_3,2024-06-13T00:28:32
order_user_34_4,user_34,product_4,2024-06-18T14:25:09
order_user_35_1,user_35,product_1,2024-06-21T02:35:01
order_user_35_2,user_35,product_2,2024-06-18T23:24:05
order_user_35_3,user_35,product_3,2024-06-17T10:54:46
order_user_36_1,user_36,product_1,2024-06-17T18:20:33
order_user_36_2,user_36,product_2,2024-06-08T09:18:55
order_user_36_3,user_36,product_3,2024-06-09T09:10:45
order_user_36_4,user_36,product_4,2024-06-05T06:01:41
order_user_36_5,user_36,product_5,2024-06-04T06:27:30
order_user_36_6,user_36,product_6,2024-06-04T18:55:09
order_user_36_7,user_36,product_7,2024-06-08T07:20:55
order_user_36_8,user_36,product_8,2024-06-09T09:38:41
order_user_37_1,user_37,product_1,2024-06-10T22:43:33
order_user_37_2,user_37,product_2,2024-06-05T07:19:52
order_user_38_1,user_38,product_1,2024-06-06T01:02:54
order_user_38_2,user_38,product_2,2024-06-14T18:10:04
order_user_38_3,user_38,product_3,2024-06-04T11:16:59
order_user_38_4,user_38,product_4,2024-06-09T23:10:53
order_user_38_5,user_38,product_5,2024-06-13T23:28:54
order_user_38_6,user_38,product_6,2024-06-17T02:29:16
order_user_39_1,user_39,product_1,2024-06-12T11:46:17
order_user_39_2,user_39,product_2,2024-06-07T00:07:15
order_user_39_3,user_39,product_3,2024-06-19T02:07:30
order_user_39_4,user_39,product_4,2024-06-21T10:06:07
order_user_39_5,user_39,product_5,2024-06-03T21:44:59
